Plant,label,WW_1,WW_2,WW_mean,Stool_1,Stool_2,Stool_3,Stool_4,Stool_5,Stool_6,Stool_7,Stool_8,Stool_9,Stool_10,Stool_11,Stool_12,Stool_13,Stool_14,Stool_mean
Banana,Banana,4.919552284,4.399671755,4.65961202,8.337551752,8.469649744,-0.552836892,10.29100266,-0.37470678,-0.38506152,5.596003541,-0.280279495,6.808555283,-0.272687635,8.658954307,-0.259477309,-0.232755763,-0.2694996,3.252458021
Oat,Oat,4.581815606,4.558139115,4.569977361,3.93120134,5.087723207,-0.552836892,7.558923076,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,6.477418345,-0.259477309,-0.232755763,-0.2694996,1.414754687
Cocao,Cocao,4.090655777,4.133630512,4.112143145,8.801188399,-0.489563071,-0.552836892,9.555943286,10.07750464,-0.38506152,-0.276748407,-0.280279495,8.898076844,-0.272687635,6.31773337,-0.259477309,-0.232755763,3.714616847,3.186832378
"Lima Bean, Common Bean","Lima Bean, Common Bean",3.582020735,4.235265083,3.908642909,-0.653947655,-0.489563071,7.030485661,-0.396160663,-0.37470678,-0.38506152,-0.276748407,2.426763025,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,0.375798317
Bur tree fruit,Kratom,4.314851406,3.423023238,3.868937322,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Brassica oleracea,Cabbage,3.292148081,4.380933647,3.836540864,-0.653947655,3.996648077,3.286749469,-0.396160663,9.194669969,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,7.891877844,-0.2694996,1.499329945
Pea,Pea,3.055759303,4.391906836,3.72383307,-0.653947655,3.343898761,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.085409058
Pistachio,Pistachio,3.443789349,3.478942786,3.461366068,-0.653947655,-0.489563071,-0.552836892,9.386164803,-0.37470678,-0.38506152,7.192097303,-0.280279495,9.959084757,-0.272687635,11.09014991,-0.259477309,-0.232755763,10.41637719,3.181611275
Chickpea,Chickpea,3.453789432,3.376781927,3.41528568,-0.653947655,-0.489563071,4.96637926,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,4.138480808,-0.240816905,3.640365415,-0.232755763,-0.2694996,0.62864562
Hops,Hops,3.130660611,2.987163312,3.058911962,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Goji berry, Gooseberry, Pepino, Tamarillo, Potato",Potato,3.283337451,2.806650395,3.044993923,-0.653947655,-0.489563071,-0.552836892,5.731423421,5.871140281,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,0.52458875
Blueberry,Blueberry,3.265479834,2.702493825,2.98398683,6.31977858,-0.489563071,7.947096876,-0.396160663,6.871103498,5.460537145,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,2.393662472,-0.232755763,-0.2694996,1.870644292
"Celery, Carrot or Parsley",Carrot/Celery,2.780347323,2.961425991,2.870886657,4.883740437,6.04322895,-0.552836892,-0.396160663,5.792311185,6.292448357,3.68027818,4.667408359,-0.344646946,6.991205759,-0.240816905,4.124937651,-0.232755763,-0.2694996,2.888488722
Walnut,Walnut,2.998600889,2.605006831,2.80180386,7.516156787,-0.489563071,8.576594546,-0.396160663,-0.37470678,8.863336064,7.861684396,7.104988402,8.224520529,9.801960069,-0.240816905,7.47916234,-0.232755763,7.640205926,5.095328991
Bell pepper,Bell pepper,2.340139266,3.129056575,2.734597921,4.429257957,-0.489563071,-0.552836892,-0.396160663,-0.37470678,6.579017367,3.632443554,4.725275311,-0.344646946,-0.272687635,-0.240816905,2.775371038,-0.232755763,4.880305067,1.72267826
Spinach,Spinach,2.021685535,3.198260746,2.609973141,-0.653947655,5.711199136,7.411920838,1.575152913,-0.37470678,-0.38506152,5.302364998,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,7.476238298,6.123415726,2.199190547
Brassicaceae,Brassicaceae,2.760642252,2.277523315,2.519082784,-0.653947655,4.367815556,4.817811778,-0.396160663,5.527839967,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,0.7929561
Mango,Mango,2.575331156,2.046030216,2.310680686,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Tomato,Tomato,2.735452003,1.722015132,2.228733568,4.258569525,8.362934781,4.683309961,-0.396160663,6.135969628,6.395446588,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,8.790489059,-0.2694996,2.591885899
Palm,Palm/Coconut,2.193535792,2.124286895,2.158911344,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Hyacinth bean, Adzuki bean, Black Gram",Black gram,1.170909411,3.1400201,2.155464756,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Cashew,Cashew,2.622123318,1.627660971,2.124892145,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,2.304578563,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.174847262
Pepper,Pepper,2.760642252,1.08201484,1.921328546,5.441668109,5.155792612,-0.552836892,4.428964301,-0.37470678,-0.38506152,2.304578563,-0.280279495,6.09931499,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,1.468728334
Sesame,Sesame,1.734003463,1.627660971,1.680832217,5.960115643,10.64198419,-0.552836892,6.588025686,-0.37470678,6.28925239,-0.276748407,-0.280279495,8.830570024,-0.272687635,-0.240816905,-0.259477309,7.37820236,-0.2694996,3.082935519
