Fish,Source,Farmed/Wild,Marine/Freshwater,Market,TotalCount,Charlotte_Jun,Charlotte_Sept,Charlotte_Oct,Charlotte_Nov,Charlotte_Dec,Beaufort_Jun,Beaufort_Jul,Beaufort_Aug,Beaufort_Sept,Beaufort_Oct,Beaufort_Nov,Beaufort_Dec,Greenville_Jun,Greenville_Sept,Greenville_Oct,Greenville_Nov,Greenville_Dec
Atlantic salmon,Imported,farmed,marine,global,5913,108,4424,603,246,113,4,3,5,8,181,9,21,149,17,0,15,8
Tilapia,Imported,farmed,fresh,global,1150,120,481,245,150,147,3,0,0,0,0,0,0,0,0,0,4,0
Nile tilapia,Imported,farmed,fresh,global,219,0,0,15,3,199,0,0,0,0,0,0,0,0,0,0,0,1
Swai,Imported,farmed,marine,global,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barramundi,Imported,farmed,fresh,global,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Branzino,Imported,farmed,marine,global,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Striped bass,Atlantic,Both,marine,national,34,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0
Lagodon,Atlantic,Both,marine,global,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Catfish,Inland,Both,both,national,15,0,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Black drum,Atlantic,wild,marine,global,918,0,93,661,33,1,0,1,4,6,78,14,11,0,0,14,0,0
Red drum,Atlantic,wild,marine,regional,324,0,0,293,0,0,0,4,23,0,0,0,4,0,0,0,0,0
Tunas,Atlantic,wild,marine,global,279,24,16,18,6,24,39,74,11,0,5,4,5,0,0,53,0,0
Scup,Atlantic,wild,marine,regional,201,15,0,163,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotted seatrout,Atlantic,wild,marine,regional,155,57,0,0,0,0,3,8,39,0,35,3,8,0,0,0,0,2
Striped Mullet,Atlantic,wild,marine,regional,150,0,28,0,11,0,34,42,0,8,2,22,3,0,0,0,0,0
King mackerel,Atlantic,wild,marine,national,119,8,5,25,1,27,3,1,0,4,0,0,45,0,0,0,0,0
Atlantic menhaden,Atlantic,wild,marine,global,109,6,80,3,6,2,0,0,0,0,0,8,0,0,4,0,1,0
Red snapper,Atlantic,wild,marine,national,92,16,15,32,9,0,21,0,0,0,0,0,0,0,0,0,0,0
Spanish mackerel,Atlantic,wild,marine,national,86,5,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
Shad or herring,Atlantic,wild,marine,regional,79,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0
